Cluster;Scientific Name;SSI;HSI;Voltinism;Overwintering;STI;Mobility;TAO;;
1;Muschampia proto;1.551;1;Univoltine;larva;14.163;D1;0.452;;
3;Nymphalis antiopa;1.52;2;Univoltine;adult;7.609;D3;0.006;;
3;Nymphalis polychloros;0.993;3;Univoltine;adult;9.684;D3;0.022;;
2;Ochlodes sylvanus;0.888;2;Multivoltine;larva;8.576;D2;0.246;;
4;Papilio machaon;0.628;3;Multivoltine;pupa;9.283;D4;0.515;;
3;Pararge aegeria;1.007;2;Multivoltine;pupa;9.71;D3;-0.416;;
1;Parnassius apollo;1.598;1;Univoltine;larva;8.141;D2;0.743;;
1;Parnassius mnemosyne;2.357;1;Univoltine;larva;8.788;D2;0.713;;
1;Phengaris arion;1.645;2;Univoltine;larva;8.638;D1;0.583;;
4;Pieris brassicae;0.805;3;Multivoltine;pupa;9.285;D4;0.232;;
2;Pieris mannii;1.562;2;Multivoltine;pupa;11.461;D2;0.114;;
3;Pieris napi;1.013;2;Multivoltine;pupa;8.209;D3;0.046;;
4;Pieris rapae;0.707;3;Multivoltine;pupa;9.628;D4;0.28;;
1;Plebejus argus;1.428;3;Univoltine;egg;8.612;D1;0.638;;
1;Plebejus idas;2.028;2;Univoltine;egg;6.68;D1;0.801;;
3;Polygonia c-album;0.92;3;Multivoltine;adult;8.596;D3;-0.039;;
1;Polyommatus amandus;1.358;2;Univoltine;larva;7.659;D1;0.562;;
1;Polyommatus damon;2.138;1;Univoltine;larva;8.663;D1;-0.087;;
1;Polyommatus daphnis;2.579;1;Univoltine;larva;9.58;D1;0.863;;
1;Polyommatus dorylas;2.449;1;Univoltine;larva;9.318;D1;0.764;;
1;Polyommatus escheri;1.319;1;Univoltine;larva;10.866;D1;0.456;;
1;Polyommatus fulgens;1.853;1;Univoltine;larva;11.833;D1;0.615;;
2;Polyommatus icarus;0.849;2;Multivoltine;larva;9.066;D3;0.595;;
1;Polyommatus ripartii;1.733;1;Univoltine;larva;10.965;D1;0.347;;
2;Polyommatus thersites;1.174;1;Multivoltine;larva;10.589;D1;0.642;;
4;Pontia daplidice;0.938;3;Multivoltine;pupa;10.429;D4;0.606;;
2;Pseudophilotes panoptes;1.583;1;Univoltine;pupa;13.967;D1;0.485;;
1;Pyrgus alveus;1.776;2;Univoltine;larva;7.934;D1;0.736;;
2;Pyrgus armoricanus;1.854;2;Multivoltine;larva;10.7;D2;0.593;;
1;Pyrgus carthami;3.103;1;Univoltine;larva;9.18;D1;0.801;;
1;Pyrgus cirsii;1.419;1;Univoltine;larva;10.261;D1;0.792;;
2;Pyrgus malvoides;0.891;2;Multivoltine;pupa;11.613;D2;0.553;;
1;Pyrgus serratulae;3.156;1;Univoltine;larva;9.193;D1;1;;
2;Pyrgus sp.;1.502;2;Multivoltine;larva;11.224;D2;0.8;;
2;Pyronia bathseba;0.771;2;Univoltine;larva;13.535;D2;-0.01;;
2;Pyronia cecilia;0.811;1;Univoltine;larva;14.065;D2;0.489;;
2;Pyronia sp;0.89;1;Univoltine;larva;12.82;D2;0.4;;
2;Pyronia tithonus;1;2;Univoltine;larva;10.857;D2;0.202;;
1;Satyrium acaciae;1.368;1;Univoltine;egg;10.21;D1;0.457;;
2;Satyrium esculi;0.876;1;Univoltine;egg;13.326;D2;0.223;;
1;Satyrium ilicis;0.963;1;Univoltine;egg;10.205;D1;0.342;;
1;Satyrium spini;1.187;1;Univoltine;egg;10.222;D1;0.435;;
1;Satyrium w-album;2.993;1;Univoltine;egg;8.871;D1;0.463;;
1;Satyrus actaea;1.413;2;Univoltine;larva;11.693;D2;0.702;;
1;Scolitantides orion;1.843;1;Univoltine;pupa;8.976;D1;0.581;;
2;Spialia sertorius;1.113;1;Multivoltine;larva;10.436;D1;0.545;;
1;Thecla betulae;1.603;1;Univoltine;egg;8.622;D2;-0.092;;
2;Thymelicus acteon;0.728;2;Univoltine;larva;11.311;D2;0.385;;
1;Thymelicus lineola;1.302;2;Univoltine;egg;8.687;D1;0.48;;
2;Thymelicus sylvestris;1.007;2;Univoltine;larva;9.867;D2;0.413;;
2;Tomares ballus;1.349;2;Univoltine;pupa;14.911;D1;0.744;;
4;Vanessa atalanta;0.489;2;Multivoltine;larva;9.071;D4;0.132;;3
4;Vanessa cardui;0.815;3;Multivoltine;none;9.037;D4;0.535;;
2;Zerynthia rumina;1.114;1;Univoltine;pupa;13.875;D2;0.459;;
